Periods,Demand [kW],Wind Power Factor [p.u.],Solar Power Factor [p.u.],Real Time Price [$/MWh]
Period01,7588.8,0.39,0,11.47
Period02,7519.68,0.37,0,22.68
Period03,7493.76,0.35,0,16.17
Period04,7462.08,0.33,0,9.93
Period05,7407.36,0.33,0,8.41
Period06,7372.8,0.31,0,12.92
Period07,7364.16,0.29,0,9.02
Period08,7346.88,0.28,0,6.2
Period09,7320.96,0.27,0,9.24
Period10,7329.6,0.24,0,9.94
Period11,7341.12,0.21,0,9.11
Period12,7312.32,0.2,0,8.65
Period13,7312.32,0.18,0,6.28
Period14,7295.04,0.19,0,6.23
Period15,7286.4,0.23,0,7.34
Period16,7320.96,0.26,0,6.18
Period17,7338.24,0.28,0,6.09
Period18,7320.96,0.29,0,5.07
Period19,7355.52,0.3,0,3.75
Period20,7416,0.31,0,9.07
Period21,7554.24,0.3,0,9.82
Period22,7649.28,0.32,0,14.05
Period23,7752.96,0.37,0,16.11
Period24,7848,0.41,0,16.35
Period25,8072.64,0.41,0,13.05
Period26,8167.68,0.43,0,19.08
Period27,8305.92,0.47,0,23.2
Period28,8392.32,0.47,0,13.92
Period29,8496,0.47,0,20.32
Period30,8642.88,0.49,0,28.14
Period31,8668.8,0.52,0,88.11
Period32,8772.48,0.53,0,44.26
Period33,8893.44,0.56,0,23.81
Period34,9048.96,0.55,0.05,27.61
Period35,9244.8,0.51,0.15,28.26
Period36,9368.64,0.43,0.19,26.84
Period37,9463.68,0.39,0.24,34.36
Period38,9541.44,0.3,0.3,19.23
Period39,9576,0.27,0.32,25.84
Period40,9636.48,0.23,0.34,25.62
Period41,9696.96,0.2,0.34,22.8
Period42,9748.8,0.16,0.36,22.94
Period43,9696.96,0.13,0.33,22.36
Period44,9722.88,0.12,0.39,22
Period45,9671.04,0.12,0.37,21.65
Period46,9731.52,0.13,0.47,33.24
Period47,9740.16,0.14,0.53,23.24
Period48,9694.08,0.15,0.55,22.18
Period49,9731.52,0.16,0.57,24.74
Period50,9705.6,0.16,0.57,33.93
Period51,9774.72,0.15,0.57,23.6
Period52,9809.28,0.13,0.55,26.4
Period53,9792,0.11,0.54,22.6
Period54,9783.36,0.09,0.52,22.48
Period55,9748.8,0.08,0.5,23.2
Period56,9714.24,0.07,0.48,22.26
Period57,9714.24,0.06,0.46,27.07
Period58,9650.88,0.07,0.42,28.7
Period59,9645.12,0.07,0.38,24.8
Period60,9593.28,0.08,0.34,20.27
Period61,9558.72,0.09,0.29,32.73
Period62,9541.44,0.09,0.24,19.33
Period63,9506.88,0.08,0.18,21.64
Period64,9489.6,0.08,0.13,20.93
Period65,9429.12,0.09,0.06,19.35
Period66,9342.72,0.13,0,20.26
Period67,9357.12,0.17,0,21.41
Period68,9273.6,0.2,0,20.5
Period69,9126.72,0.22,0,28.05
Period70,9083.52,0.22,0,28.5
Period71,9048.96,0.23,0,21.05
Period72,8893.44,0.24,0,23.4
Period73,8815.68,0.24,0,22.6
Period74,8789.76,0.22,0,23.6
Period75,8772.48,0.19,0,29.78
Period76,8686.08,0.16,0,25.13
Period77,8582.4,0.13,0,23.57
Period78,8547.84,0.13,0,23.29
Period79,8504.64,0.14,0,23.38
Period80,8470.08,0.15,0,23.7
Period81,8349.12,0.17,0,29.54
Period82,8280,0.18,0,30.19
Period83,8254.08,0.19,0,26.79
Period84,8193.6,0.18,0,26.83
Period85,8124.48,0.16,0,24.82
Period86,8098.56,0.13,0,22.75
Period87,8055.36,0.11,0,22.12
Period88,8003.52,0.1,0,24.59
Period89,7804.8,0.09,0,29.15
Period90,7735.68,0.07,0,29.06
Period91,7675.2,0.07,0,31.57
Period92,7614.72,0.07,0,32.28
Period93,7519.68,0.07,0,30.77
Period94,7519.68,0.08,0,28.65
Period95,7485.12,0.08,0,27.87
Period96,7490.88,0.07,0,25.2
