Periods,Demand [kW],Wind Power Factor [p.u.],Solar Power Factor [p.u.],Real Time Price [$/MWh]
Period01,7519.68,0,0,22.38
Period02,7493.76,0,0,9.03
Period03,7459.2,0,0,5.67
Period04,7433.28,0,0,5.66
Period05,7398.72,0,0,5.63
Period06,7375.68,0,0,5.64
Period07,7372.8,0,0,4.91
Period08,7338.24,0,0,7.04
Period09,7338.24,0,0,20.62
Period10,7320.96,0,0,20.15
Period11,7329.6,0,0,20.16
Period12,7286.4,0,0,18.11
Period13,7260.48,0,0,19.68
Period14,7251.84,0,0,23.81
Period15,7243.2,0,0,24.66
Period16,7269.12,0,0,21.8
Period17,7286.4,0,0,15.52
Period18,7295.04,0,0,20
Period19,7320.96,0,0,13.08
Period20,7384.32,0,0,13.58
Period21,7528.32,0,0,2.23
Period22,7698.24,0,0,3.38
Period23,7735.68,0,0,4.4
Period24,7830.72,0,0,4.43
Period25,8020.8,0,0,7.47
Period26,8184.96,0,0,14.95
Period27,8340.48,0,0,9.21
Period28,8435.52,0,0,15.63
Period29,8565.12,0,0,23.92
Period30,8694.72,0,0,20.73
Period31,8735.04,0,0,21.41
Period32,8807.04,0,0,20.35
Period33,8919.36,0,0.01,26.7
Period34,9074.88,0,0.1,22.33
Period35,9230.4,0,0.16,20.38
Period36,9299.52,0,0.22,23.17
Period37,9411.84,0,0.27,21.44
Period38,9524.16,0,0.32,21.96
Period39,9552.96,0,0.36,21.74
Period40,9662.4,0,0.39,25.57
Period41,9757.44,0,0.4,24
Period42,9760.32,0,0.45,24.21
Period43,9809.28,0,0.49,23.58
Period44,9858.24,0,0.51,24.29
Period45,9887.04,0,0.53,25.03
Period46,9895.68,0,0.53,25.01
Period47,9947.52,0,0.53,26.89
Period48,9982.08,0,0.54,25.52
Period49,9956.16,0,0.54,23.16
Period50,9990.72,0,0.49,24.4
Period51,10025.28,0,0.52,24.66
Period52,10025.28,0,0.53,26.28
Period53,10051.2,0.04,0.42,26.72
Period54,10068.48,0.05,0.3,26.51
Period55,10068.48,0.05,0.26,26.8
Period56,10094.4,0.05,0.18,27.29
Period57,10068.48,0.06,0.24,27.56
Period58,10077.12,0.06,0.32,23.38
Period59,10094.4,0.06,0.36,22.76
Period60,10042.56,0.05,0.34,24.16
Period61,10016.64,0.04,0.29,22.55
Period62,9964.8,0.04,0.24,21.5
Period63,9990.72,0.03,0.18,28.86
Period64,9938.88,0,0.13,21.49
Period65,9852.48,0.04,0.05,21.06
Period66,9806.4,0.04,0,24.54
Period67,9783.36,0.04,0,24.92
Period68,9705.6,0.05,0,42.88
Period69,9567.36,0.06,0,48.92
Period70,9576,0.08,0,26.95
Period71,9446.4,0.09,0,25.64
Period72,9437.76,0.09,0,27.18
Period73,9394.56,0.08,0,31.07
Period74,9282.24,0.09,0,26.65
Period75,9204.48,0.09,0,25.11
Period76,9169.92,0.09,0,24.06
Period77,9066.24,0.1,0,24.96
Period78,9023.04,0.09,0,24.78
Period79,8953.92,0.11,0,22.37
Period80,8902.08,0.16,0,23.74
Period81,8815.68,0.19,0,22.04
Period82,8789.76,0.17,0,22.62
Period83,8668.8,0.18,0,20.28
Period84,8625.6,0.21,0,21.49
Period85,8573.76,0.21,0,27.12
Period86,8530.56,0.23,0,24.02
Period87,8461.44,0.31,0,18.45
Period88,8403.84,0.36,0,20.22
Period89,8159.04,0.32,0,23.05
Period90,8098.56,0.34,0,23.24
Period91,7994.88,0.38,0,21.87
Period92,7960.32,0.38,0,22.14
Period93,7830.72,0.37,0,24.09
Period94,7752.96,0.36,0,21.86
Period95,7709.76,0.37,0,21.49
Period96,7626.24,0.37,0,20.35
