Periods,Demand [kW],Wind Power Factor [p.u.],Solar Power Factor [p.u.],Real Time Price [$/MWh]
Period01,7485.12,0.1,0,20
Period02,7433.28,0.07,0,22.22
Period03,7424.64,0.07,0,19.94
Period04,7375.68,0.11,0,20.56
Period05,7355.52,0.11,0,22.14
Period06,7312.32,0.09,0,19.26
Period07,7251.84,0.1,0,15.67
Period08,7269.12,0.09,0,15.92
Period09,7251.84,0.08,0,15.3
Period10,7217.28,0.08,0,15.32
Period11,7225.92,0.09,0,15.18
Period12,7191.36,0.2,0,14.29
Period13,7191.36,0.16,0,15.2
Period14,7208.64,0.12,0,15.97
Period15,7182.72,0.13,0,16.32
Period16,7202.88,0.13,0,16.15
Period17,7208.64,0.09,0,17.17
Period18,7234.56,0.08,0,21.43
Period19,7251.84,0.08,0,21.16
Period20,7295.04,0.06,0,18.74
Period21,7467.84,0.05,0,21.34
Period22,7588.8,0.08,0,23.96
Period23,7683.84,0.24,0,23.54
Period24,7787.52,0.3,0,23.8
Period25,7951.68,0.22,0,25.01
Period26,8112.96,0.17,0,27.35
Period27,8202.24,0.17,0,32.64
Period28,8288.64,0.25,0,30.08
Period29,8418.24,0.24,0,24
Period30,8504.64,0.21,0,26.76
Period31,8591.04,0.2,0,26.67
Period32,8729.28,0.19,0,26.25
Period33,8850.24,0.2,0,21.74
Period34,8962.56,0.19,0.07,18.21
Period35,9115.2,0.16,0.16,23.79
Period36,9195.84,0.13,0.21,21.06
Period37,9267.84,0.12,0.27,17.36
Period38,9368.64,0.12,0.32,23.12
Period39,9455.04,0.12,0.37,20.61
Period40,9524.16,0.1,0.41,18.53
Period41,9610.56,0.08,0.44,21.35
Period42,9642.24,0.08,0.48,19.25
Period43,9745.92,0.07,0.51,17.07
Period44,9783.36,0.06,0.55,24.08
Period45,9754.56,0.05,0.59,17.17
Period46,9823.68,0.04,0.6,18.05
Period47,9763.2,0.04,0.58,19.73
Period48,9858.24,0,0.57,16.88
Period49,9910.08,0,0.56,20.92
Period50,9910.08,0,0.56,11.19
Period51,9838.08,0,0.54,3.4
Period52,9826.56,0,0.55,11.64
Period53,9927.36,0,0.57,27.08
Period54,9999.36,0,0.54,25.58
Period55,10056.96,0,0.48,25.81
Period56,9895.68,0,0.46,26.33
Period57,9835.2,0,0.46,28.19
Period58,9892.8,0,0.43,28.2
Period59,10002.24,0,0.38,28.08
Period60,9941.76,0,0.35,28.08
Period61,9887.04,0,0.3,25.47
Period62,9973.44,0,0.23,25.46
Period63,9843.84,0,0.17,21.49
Period64,9820.8,0,0.13,17.54
Period65,9904.32,0,0.02,16.6
Period66,9766.08,0,0,18.56
Period67,9748.8,0,0,22.95
Period68,9627.84,0,0,31.4
Period69,9472.32,0,0,30.5
Period70,9420.48,0,0,28.73
Period71,9429.12,0,0,26.6
Period72,9400.32,0,0,27.63
Period73,9316.8,0,0,27.73
Period74,9230.4,0,0,29.98
Period75,9161.28,0,0,32.24
Period76,9074.88,0,0,31.47
Period77,8971.2,0,0,27.26
Period78,8893.44,0,0,30.83
Period79,8873.28,0,0,26.77
Period80,8850.24,0,0,103.76
Period81,8712,0,0,33.15
Period82,8668.8,0,0,28.91
Period83,8642.88,0,0,27.83
Period84,8634.24,0,0,87.68
Period85,8547.84,0,0,25.93
Period86,8470.08,0,0,25.24
Period87,8383.68,0,0,25.12
Period88,8297.28,0,0,25.04
Period89,8038.08,0,0,25.47
Period90,7977.6,0,0,24.77
Period91,7891.2,0,0,24.47
Period92,7865.28,0,0,23.03
Period93,7727.04,0,0,22.64
Period94,7683.84,0,0,22.27
Period95,7657.92,0,0,21.58
Period96,7597.44,0,0,22.33
